🇨🇳央视频道,#genre#
北京卡酷少儿,http://127.0.0.1:35455/itv/7851974109718180595.m3u8?cdn=bestzb
北京纪实科教8K,https://gdcucc.v1.mk/gdcucc/brtv8k.m3u8
北京纪实科教,http://127.0.0.1:35455/itv/1000000001000001910.m3u8?cdn=ystenlive
北京纪实科教,http://127.0.0.1:35455/itv/1000000005000265020.m3u8?cdn=ystenlive
北京纪实科教,http://127.0.0.1:35455/tptv/HD-8000k-1080P-beijingjishi.m3u8

NEWTV中国功夫,http://127.0.0.1:35455/itv/2000000003000000009.m3u8?cdn=hnbblive
NEWTV怡伴健康,http://127.0.0.1:35455/itv/1000000005000266011.m3u8?cdn=ystenlive
NEWTV炫舞未来,http://127.0.0.1:35455/itv/1000000001000000515.m3u8?cdn=ystenlive
NEWTV炫舞未来,http://127.0.0.1:35455/tptv/HD-4000k-1080P-xwwl.m3u8
NEWTV炫舞未来,http://127.0.0.1:35455/tptv/GITV-JS-47.m3u8
NEWTV熊猫生活,http://127.0.0.1:35455/tptv/GITV-JS-10.m3u8
NEWTV武博世界,http://127.0.0.1:35455/itv/2000000003000000007.m3u8?cdn=hnbblive
